Date,Symbol,Open,Previous Close,Close,High,Low,Change,Turnover,Deals,Volume,Outstanding Bid,Outstanding Offer,Market Cap
2026-08-19,AFRIPRISE,,,,,,,,,,,,
2026-08-19,CRDB,,,,,,,,,,,,
2026-08-19,DCB,,,,,,,,,,,,
2026-08-19,DSE,,,,,,,,,,,,
2026-08-19,EABL,,,,,,,,,,,,
2026-08-19,JATU,,,,,,,,,,,,
2026-08-19,JHL,,,,,,,,,,,,
2026-08-19,KA,,,,,,,,,,,,
2026-08-19,KCB,,,,,,,,,,,,
2026-08-19,MBP,,,,,,,,,,,,
2026-08-19,MCB,,,,,,,,,,,,
2026-08-19,MKCB,,,,,,,,,,,,
2026-08-19,MUCOBA,,,,,,,,,,,,
2026-08-19,NICO,,,,,,,,,,,,
2026-08-19,NMB,,,,,,,,,,,,
2026-08-19,NMG,,,,,,,,,,,,
2026-08-19,PAL,,,,,,,,,,,,
2026-08-19,SWALA,,,,,,,,,,,,
2026-08-19,SWIS,,,,,,,,,,,,
2026-08-19,TBL,,,,,,,,,,,,
2026-08-19,TCC,,,,,,,,,,,,
2026-08-19,TCCL,,,,,,,,,,,,
2026-08-19,TOL,,,,,,,,,,,,
2026-08-19,TPCC,,,,,,,,,,,,
2026-08-19,TTP,,,,,,,,,,,,
2026-08-19,USL,,,,,,,,,,,,
2026-08-19,VODA,,,,,,,,,,,,
2026-08-19,YETU,,,,,,,,,,,,
2026-08-19,IEACLC-ETF,,,,,,,,,,,,
2026-08-19,VERTEX-ETF,,,,,,,,,,,,
