Date,Symbol,Open,Previous Close,Close,High,Low,Change,Turnover,Deals,Volume,Outstanding Bid,Outstanding Offer,Market Cap
2026-08-18,AFRIPRISE,,,,,,,,,,,,
2026-08-18,CRDB,,,,,,,,,,,,
2026-08-18,DCB,,,,,,,,,,,,
2026-08-18,DSE,,,,,,,,,,,,
2026-08-18,EABL,,,,,,,,,,,,
2026-08-18,JATU,,,,,,,,,,,,
2026-08-18,JHL,,,,,,,,,,,,
2026-08-18,KA,,,,,,,,,,,,
2026-08-18,KCB,,,,,,,,,,,,
2026-08-18,MBP,,,,,,,,,,,,
2026-08-18,MCB,,,,,,,,,,,,
2026-08-18,MKCB,,,,,,,,,,,,
2026-08-18,MUCOBA,,,,,,,,,,,,
2026-08-18,NICO,,,,,,,,,,,,
2026-08-18,NMB,,,,,,,,,,,,
2026-08-18,NMG,,,,,,,,,,,,
2026-08-18,PAL,,,,,,,,,,,,
2026-08-18,SWALA,,,,,,,,,,,,
2026-08-18,SWIS,,,,,,,,,,,,
2026-08-18,TBL,,,,,,,,,,,,
2026-08-18,TCC,,,,,,,,,,,,
2026-08-18,TCCL,,,,,,,,,,,,
2026-08-18,TOL,,,,,,,,,,,,
2026-08-18,TPCC,,,,,,,,,,,,
2026-08-18,TTP,,,,,,,,,,,,
2026-08-18,USL,,,,,,,,,,,,
2026-08-18,VODA,,,,,,,,,,,,
2026-08-18,YETU,,,,,,,,,,,,
2026-08-18,IEACLC-ETF,,,,,,,,,,,,
2026-08-18,VERTEX-ETF,,,,,,,,,,,,
