Date,Symbol,Open,Previous Close,Close,High,Low,Change,Turnover,Deals,Volume,Outstanding Bid,Outstanding Offer,Market Cap
2026-08-20,AFRIPRISE,,,,,,,,,,,,
2026-08-20,CRDB,,,,,,,,,,,,
2026-08-20,DCB,,,,,,,,,,,,
2026-08-20,DSE,,,,,,,,,,,,
2026-08-20,EABL,,,,,,,,,,,,
2026-08-20,JATU,,,,,,,,,,,,
2026-08-20,JHL,,,,,,,,,,,,
2026-08-20,KA,,,,,,,,,,,,
2026-08-20,KCB,,,,,,,,,,,,
2026-08-20,MBP,,,,,,,,,,,,
2026-08-20,MCB,,,,,,,,,,,,
2026-08-20,MKCB,,,,,,,,,,,,
2026-08-20,MUCOBA,,,,,,,,,,,,
2026-08-20,NICO,,,,,,,,,,,,
2026-08-20,NMB,,,,,,,,,,,,
2026-08-20,NMG,,,,,,,,,,,,
2026-08-20,PAL,,,,,,,,,,,,
2026-08-20,SWALA,,,,,,,,,,,,
2026-08-20,SWIS,,,,,,,,,,,,
2026-08-20,TBL,,,,,,,,,,,,
2026-08-20,TCC,,,,,,,,,,,,
2026-08-20,TCCL,,,,,,,,,,,,
2026-08-20,TOL,,,,,,,,,,,,
2026-08-20,TPCC,,,,,,,,,,,,
2026-08-20,TTP,,,,,,,,,,,,
2026-08-20,USL,,,,,,,,,,,,
2026-08-20,VODA,,,,,,,,,,,,
2026-08-20,YETU,,,,,,,,,,,,
2026-08-20,IEACLC-ETF,,,,,,,,,,,,
2026-08-20,VERTEX-ETF,,,,,,,,,,,,
