Date,Symbol,Open,Previous Close,Close,High,Low,Change,Turnover,Deals,Volume,Outstanding Bid,Outstanding Offer,Market Cap
2026-08-17,AFRIPRISE,,,,,,,,,,,,
2026-08-17,CRDB,,,,,,,,,,,,
2026-08-17,DCB,,,,,,,,,,,,
2026-08-17,DSE,,,,,,,,,,,,
2026-08-17,EABL,,,,,,,,,,,,
2026-08-17,JATU,,,,,,,,,,,,
2026-08-17,JHL,,,,,,,,,,,,
2026-08-17,KA,,,,,,,,,,,,
2026-08-17,KCB,,,,,,,,,,,,
2026-08-17,MBP,,,,,,,,,,,,
2026-08-17,MCB,,,,,,,,,,,,
2026-08-17,MKCB,,,,,,,,,,,,
2026-08-17,MUCOBA,,,,,,,,,,,,
2026-08-17,NICO,,,,,,,,,,,,
2026-08-17,NMB,,,,,,,,,,,,
2026-08-17,NMG,,,,,,,,,,,,
2026-08-17,PAL,,,,,,,,,,,,
2026-08-17,SWALA,,,,,,,,,,,,
2026-08-17,SWIS,,,,,,,,,,,,
2026-08-17,TBL,,,,,,,,,,,,
2026-08-17,TCC,,,,,,,,,,,,
2026-08-17,TCCL,,,,,,,,,,,,
2026-08-17,TOL,,,,,,,,,,,,
2026-08-17,TPCC,,,,,,,,,,,,
2026-08-17,TTP,,,,,,,,,,,,
2026-08-17,USL,,,,,,,,,,,,
2026-08-17,VODA,,,,,,,,,,,,
2026-08-17,YETU,,,,,,,,,,,,
2026-08-17,IEACLC-ETF,,,,,,,,,,,,
2026-08-17,VERTEX-ETF,,,,,,,,,,,,
